,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYN,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolYN,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,Bathrooms
28,534128010,2090,200000,60,RL,82.20455175218076,10382,Pave,0.0,2,4,4,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4.0,3.0,2.0,5.0,859.0,4.0,32.0,216.0,1107.0,GasA,5,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,3,7,8,2,3.0,Attchd,yes,2.0,2.0,484.0,3.0,3.0,3,235,204,228,0,0,no,0.0,NO,11,2009,WD ,Normal,3.5
29,528106110,2046,450000,20,RL,105.0,15431,Pave,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,5,3,PConc,5.0,3.0,4.0,6.0,1430.0,1.0,0.0,564.0,1994.0,GasA,5,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,5,7,8,2,4.0,Attchd,yes,3.0,3.0,878.0,3.0,3.0,3,188,65,0,0,175,no,0.0,NO,8,2007,WD ,Normal,3.5
30,902206260,886,91300,30,RM,50.0,5784,Pave,0.0,1,4,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,NO,0.0,3,3,BrkTil,2.0,3.0,1.0,1.0,0.0,1.0,0.0,190.0,190.0,GasA,4,Y,FuseA,886,0,0,0.0,0.0,1,0,2,1,3,4,8,0,0.0,Attchd,yes,1.0,1.0,273.0,3.0,3.0,3,144,20,80,0,0,no,0.0,NO,12,2009,WD ,Normal,1.0
32,528218150,1324,199500,20,RL,100.0,18494,Pave,0.0,2,4,4,Corner,3,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,NO,0.0,4,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1324.0,1324.0,GasA,5,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,1,4,6,8,0,0.0,Attchd,yes,3.0,2.0,430.0,3.0,3.0,3,36,23,0,0,0,no,0.0,NO,1,2010,WD ,Normal,2.0
33,903400180,1848,207000,50,RL,64.0,13053,Pave,2.0,1,3,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,NO,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,833.0,833.0,GasA,4,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,4,8,8,1,4.0,Detchd,yes,1.0,2.0,370.0,3.0,3.0,1,0,0,0,0,220,no,0.0,NO,6,2008,WD ,Normal,1.5
34,535453210,1269,155000,20,RL,70.0,7931,Pave,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,NO,0.0,3,3,CBlock,3.0,3.0,1.0,4.0,374.0,2.0,532.0,363.0,1269.0,GasA,3,Y,FuseA,1269,0,0,0.0,0.0,1,1,3,1,3,6,8,1,2.0,Detchd,yes,1.0,1.0,308.0,3.0,3.0,3,0,0,0,0,0,no,0.0,NO,6,2008,WD ,Normal,1.5
35,916386010,1346,220000,20,RL,88.0,11896,Pave,0.0,2,4,4,Corner,3,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,4,3,PConc,4.0,3.0,1.0,6.0,78.0,1.0,0.0,1258.0,1336.0,GasA,5,Y,SBrkr,1346,0,0,1.0,0.0,2,0,3,1,4,6,8,1,3.0,Attchd,yes,3.0,3.0,660.0,3.0,3.0,3,100,48,0,0,0,no,0.0,NO,5,2010,WD ,Normal,3.0
36,907181090,1749,196000,60,RL,68.0,9272,Pave,0.0,2,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,NO,0.0,4,3,PConc,4.0,3.0,1.0,6.0,500.0,1.0,0.0,342.0,842.0,GasA,5,Y,SBrkr,856,893,0,0.0,0.0,2,1,3,1,4,7,8,0,0.0,Attchd,yes,2.0,2.0,515.0,3.0,3.0,3,140,85,0,0,0,no,0.0,NO,6,2006,WD ,Normal,2.5
37,902206020,492,61500,30,RM,52.0,7830,Pave,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,NO,0.0,3,3,BrkTil,2.0,3.0,1.0,2.0,416.0,1.0,0.0,76.0,492.0,GasA,3,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,1,3,3,8,0,0.0,Detchd,yes,1.0,1.0,200.0,2.0,3.0,1,0,0,78,0,0,no,0.0,NO,6,2006,WD ,Normal,2.0
38,527327050,2030,195000,60,RL,95.38008383806294,12046,Pave,0.0,2,4,4,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,3,3,CBlock,3.0,3.0,1.0,2.0,156.0,1.0,0.0,692.0,848.0,GasA,3,Y,SBrkr,1118,912,0,0.0,0.0,2,1,4,1,4,8,8,1,3.0,Attchd,yes,3.0,2.0,551.0,3.0,3.0,3,0,224,0,0,0,no,0.0,NO,6,2007,WD ,Normal,2.5
39,527455250,988,129250,20,RL,65.0,7150,Pave,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,3,3,CBlock,3.0,3.0,1.0,4.0,725.0,1.0,0.0,263.0,988.0,GasA,3,Y,SBrkr,988,0,0,1.0,0.0,1,0,3,1,3,5,8,0,0.0,Detchd,yes,1.0,1.0,360.0,3.0,3.0,3,0,0,0,0,0,no,0.0,NO,11,2007,WD ,Normal,2.0
40,528326110,2172,291000,60,RL,87.0978683561923,11000,Pave,0.0,1,4,4,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295.0,4,3,PConc,5.0,3.0,2.0,1.0,0.0,1.0,0.0,1519.0,1519.0,GasA,5,Y,SBrkr,1533,639,0,0.0,0.0,2,1,4,1,5,8,8,1,3.0,BuiltIn,yes,2.0,3.0,687.0,3.0,3.0,3,162,153,0,0,0,no,0.0,NO,6,2008,WD ,Normal,2.5
41,914452190,1080,134000,20,RL,71.0,9187,Pave,0.0,1,3,4,Corner,3,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,NO,0.0,3,4,PConc,3.0,3.0,1.0,5.0,336.0,1.0,0.0,748.0,1084.0,GasA,3,Y,SBrkr,1080,0,0,0.0,0.0,1,1,3,1,3,5,8,0,0.0,Attchd,yes,1.0,2.0,484.0,3.0,3.0,3,120,0,158,0,0,no,0.0,NO,6,2007,WD ,Normal,1.5
42,535425060,1312,186000,20,RL,76.0,11355,Pave,0.0,2,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,7,7,1958,2001,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,125.0,3,3,CBlock,3.0,3.0,1.0,4.0,637.0,1.0,0.0,675.0,1312.0,GasA,5,Y,SBrkr,1312,0,0,0.0,0.0,1,1,3,1,3,6,8,1,4.0,Attchd,yes,2.0,2.0,495.0,3.0,3.0,3,0,304,144,0,0,no,0.0,MnPrv,4,2008,WD ,Normal,1.5
43,532376250,925,133500,20,RL,68.3955806237081,8638,Pave,0.0,2,4,4,Inside,3,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,HdBoard,HdBoard,NO,0.0,3,3,PConc,3.0,3.0,1.0,5.0,181.0,1.0,0.0,744.0,925.0,GasA,4,Y,SBrkr,925,0,0,1.0,0.0,1,0,2,1,3,5,8,0,0.0,Detchd,yes,1.0,2.0,484.0,3.0,3.0,3,203,74,0,0,0,no,0.0,NO,10,2006,WD ,Normal,2.0
44,535379110,1534,148000,70,RL,60.0,10800,Pave,1.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,5,9,1895,1999,Gable,CompShg,Wd Sdng,HdBoard,NO,0.0,3,4,CBlock,4.0,3.0,3.0,1.0,0.0,1.0,0.0,736.0,736.0,GasA,5,Y,SBrkr,751,783,0,0.0,0.0,1,1,3,1,4,6,8,0,0.0,NO,no,0.0,0.0,0.0,0.0,0.0,1,0,112,0,0,0,no,0.0,NO,7,2007,WD ,Normal,1.5
46,528235160,1959,215000,60,RL,59.0,11796,Pave,0.0,2,4,4,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,NO,0.0,4,3,PConc,4.0,3.0,3.0,1.0,0.0,1.0,0.0,847.0,847.0,GasA,5,Y,SBrkr,847,1112,0,0.0,0.0,2,1,4,1,4,8,8,1,4.0,BuiltIn,yes,3.0,2.0,434.0,3.0,3.0,3,100,48,0,0,0,no,0.0,NO,7,2007,WD ,Normal,2.5
47,905478030,1716,131000,50,RL,60.0,11409,Pave,0.0,1,4,4,Inside,3,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,NO,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,292.0,1.0,0.0,476.0,768.0,GasA,4,Y,SBrkr,1148,568,0,0.0,0.0,1,1,3,1,3,8,6,1,4.0,Attchd,yes,1.0,1.0,281.0,3.0,3.0,3,0,0,0,0,160,no,0.0,NO,1,2009,WD ,Normal,1.5
48,902106130,936,109500,30,RM,56.0,4485,Pave,1.0,1,4,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NO,0.0,3,3,PConc,3.0,3.0,1.0,4.0,579.0,1.0,0.0,357.0,936.0,GasA,3,Y,SBrkr,936,0,0,1.0,0.0,1,0,2,1,3,5,8,1,4.0,NO,no,0.0,0.0,0.0,0.0,0.0,2,51,0,135,0,0,no,0.0,MnPrv,5,2010,WD ,Normal,2.0
49,902102080,1230,110000,50,RM,60.0,10440,Pave,1.0,1,4,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,NO,0.0,3,3,PConc,3.0,3.0,1.0,1.0,0.0,1.0,0.0,440.0,440.0,GasA,4,Y,SBrkr,682,548,0,0.0,0.0,1,1,2,1,3,5,8,0,0.0,Detchd,yes,1.0,2.0,440.0,3.0,3.0,3,74,0,128,0,0,no,0.0,MnPrv,5,2009,WD ,Normal,1.5
53,907414060,1422,179600,20,RL,63.0,8500,Pave,0.0,1,4,4,FR2,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,106.0,4,3,PConc,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1422.0,1422.0,GasA,5,Y,SBrkr,1422,0,0,0.0,0.0,2,0,3,1,4,7,8,0,0.0,Attchd,yes,2.0,2.0,626.0,3.0,3.0,3,192,60,0,0,0,no,0.0,NO,11,2007,WD ,Normal,2.0
55,532479020,1641,140000,50,RL,70.0,10759,Pave,0.0,1,4,4,Corner,3,Sawyer,Feedr,Norm,1Fam,1.5Fin,5,4,1972,1972,Gable,CompShg,HdBoard,HdBoard,NO,0.0,3,4,CBlock,4.0,3.0,1.0,2.0,190.0,5.0,811.0,0.0,1001.0,GasA,3,Y,SBrkr,1001,640,0,0.0,0.0,2,0,4,1,3,5,8,1,4.0,Detchd,yes,1.0,2.0,490.0,3.0,3.0,3,0,0,92,0,0,no,0.0,GdPrv,7,2008,WD ,Normal,2.0
57,534429130,1248,151500,20,RL,80.0,10800,Pave,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,88.0,3,3,CBlock,3.0,3.0,1.0,5.0,632.0,1.0,0.0,616.0,1248.0,GasA,5,Y,SBrkr,1248,0,0,1.0,0.0,1,0,3,1,3,6,8,0,0.0,Attchd,yes,1.0,1.0,286.0,3.0,3.0,3,0,0,0,0,0,no,0.0,MnPrv,5,2006,WD ,Normal,2.0
58,528365060,2418,341000,60,RL,96.0,10542,Pave,0.0,1,4,4,Inside,3,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1994,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,651.0,4,3,PConc,4.0,3.0,4.0,6.0,1173.0,1.0,0.0,138.0,1311.0,GasA,5,Y,SBrkr,1325,1093,0,1.0,0.0,2,1,3,1,4,9,8,1,3.0,Attchd,yes,2.0,3.0,983.0,3.0,3.0,3,250,154,216,0,0,no,0.0,NO,8,2008,WD ,Normal,3.5
